Mig instance,Batch size,Workload Number,Throughput,Latency
2,2,1,289.3131816,0.007042646408
3,2,1,464.7422333,0.004398584366
4,2,1,555.5959443,0.003738641739
7,2,1,827.03947,0.00263428688
2,4,1,352.7613584,0.01142907143
3,4,1,557.3475488,0.007346391678
4,4,1,712.6417621,0.005782365799
7,4,1,1071.963017,0.003905296326
2,8,1,408.05481,0.01965546608
3,8,1,648.5094414,0.0124938488
4,8,1,785.4638897,0.0103559494
7,8,1,1308.379164,0.006176948547
2,16,1,443.4809095,0.03620576859
3,16,1,695.8337169,0.02317595482
4,16,1,866.2098297,0.01854228973
7,16,1,1419.775951,0.01152944565
2,32,1,460.4351632,0.06960964203
3,32,1,745.7284267,0.04311203957
4,32,1,904.0769228,0.03554034233
7,32,1,1524.162725,0.02171182632
