Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,93.35114135,0.01110291481
2,1,1,116.9754127,0.009169340134
3,1,1,116.2721209,0.009372711182
4,1,1,112.6623917,0.009363889694
7,1,1,115.8032706,0.009674072266
1,2,1,126.2245486,0.01598882675
2,2,1,217.600824,0.009458065033
3,2,1,241.6200388,0.008957386017
4,2,1,241.7011999,0.00913977623
7,2,1,248.1878463,0.008861780167
1,4,1,147.1982489,0.02730202675
2,4,1,278.9778196,0.01445770264
3,4,1,396.696616,0.01079702377
4,4,1,477.0424513,0.009048700333
7,4,1,477.8911976,0.009376764297
1,8,1,168.4102415,0.04765367508
2,8,1,332.400324,0.02422738075
3,8,1,515.2125526,0.01562380791
4,8,1,634.7990365,0.01277208328
7,8,1,862.5336672,0.009525775909
1,16,1,183.230177,0.08758306503
2,16,1,360.3363697,0.04455327988
3,16,1,586.5512514,0.02739405632
4,16,1,717.89349,0.02245187759
7,16,1,1080.937282,0.01495504379
1,32,1,196.547569,0.1632151604
2,32,1,387.2666735,0.08293056488
3,32,1,636.8548644,0.05044269562
4,32,1,759.7690019,0.04226231575
7,32,1,1244.387087,0.02601265907
