Mig instance,Batch size,Workload Number,Throughput,Latency
2,1,1,0.05733365733,17.45051503
3,1,1,0.08746365613,11.44023705
4,1,1,0.1115806045,8.97480011
7,1,1,0.1606009105,6.277524471
