Mig instance,Batch size,Workload Number,Throughput,Latency
1,1,1,90.84108642,0.01227426529
2,1,1,92.07019049,0.01174592972
3,1,1,91.47033785,0.01227021217
4,1,1,91.42485387,0.01136994362
7,1,1,90.33435502,0.01249480247
1,2,1,97.02428403,0.02067947388
2,2,1,171.3911935,0.01174974442
3,2,1,193.7027357,0.01143693924
4,2,1,190.8280448,0.01327800751
7,2,1,188.061662,0.01334381104
1,4,1,120.1586401,0.03344368935
2,4,1,228.1441312,0.0176422596
3,4,1,329.8977551,0.01221871376
4,4,1,379.6607615,0.014128685
7,4,1,376.8343203,0.01318788528
1,8,1,146.7135627,0.05471229553
2,8,1,274.2644176,0.02929449081
3,8,1,421.1139314,0.01909399033
4,8,1,505.9405955,0.01590776443
7,8,1,703.7131386,0.01248621941
1,16,1,171.0819881,0.09371614456
2,16,1,330.313917,0.04856300354
3,16,1,519.716995,0.03089737892
4,16,1,614.8064771,0.02614545822
1,32,1,174.8579103,0.1833853722
2,32,1,341.5601937,0.09383821487
3,32,1,563.0311452,0.05699539185
4,32,1,657.9099015,0.04873347282
