Num instance,Num GPU,Model,Placement,Instance size,Batch size,Num proc
0,0,resnet50,0,4,16,1
0,0,densenet169,4,3,8,1
0,1,vgg19,0,4,2,1
0,1,resnet152,4,3,16,1
0,2,densenet161,0,2,4,1
0,2,whisper,4,2,4,1
0,2,mobilenet_v3_large,6,1,4,1
